,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,superseded,tags,total_length,total_surface,total_volume,dendrite_type
0,82.7277810973656,,0.864267432568298,0.345091864655334,20.7230769230769,0.964510320389968,,491119743,6.0,99.77972417680859,126.593790172279,dendrite-only,33,73,1470,7,40,51.4886,140.506828743116,136.26752164950702,0.1144,0.1144,0.28,435.740269600649,478107198,False,3D Neuron Reconstruction morphology,1666.08292559458,1803.8756442200101,167.343085623457,aspiny
1,82.50668049377991,,0.9038899663546891,0.6340472909859111,105.277777777778,0.86218269498544,,546781359,3.0,432.383109562585,496.831994283078,dendrite-only,9,23,2011,5,14,92.6671,566.701220153457,370.17004536626604,0.1144,0.1144,0.28,1446.5877254190198,502367941,False,3D Neuron Reconstruction morphology,2277.2593743318803,4543.13907289201,921.571894719358,spiny
2,77.5366780668317,,0.8631041264860849,0.417928653364861,73.6666666666667,0.926632929890573,,537042261,6.0,373.630444207227,436.958951908828,dendrite-only,21,46,3137,4,25,65.4696,425.89762528326304,381.01511400352797,0.1144,0.1144,0.28,287.11812285142,515771244,False,3D Neuron Reconstruction morphology,3589.3390619582597,4704.9104071175,582.285423274458,spiny
3,76.5832223892476,,0.9005370891761959,0.40039586390490794,95.9791666666667,0.942049114155653,,689123605,11.0,943.3825494247909,989.4483174791229,full,24,52,4652,4,28,99.9139,1217.69497571848,524.5501555460891,0.1144,0.1144,0.28,180.994813076735,561435279,False,3D Neuron Reconstruction morphology,5416.2287779976505,6814.93329030379,740.722806192659,spiny
4,72.01924982347201,,0.873517522034512,0.22762610649966397,47.53571428571429,1.0,,657879305,5.0,186.218008961405,221.639502209507,full,14,32,1406,4,18,54.3718,172.075940901786,261.45905706221197,0.1144,0.1144,0.28,55.055236124779604,591268268,False,3D Neuron Reconstruction morphology,1659.46586885779,1185.77346167565,69.1441455011549,aspiny
5,76.9516534204621,,0.8822339198785241,0.48808574816237704,55.875,0.964472631992055,,689594739,10.0,334.802776345657,367.726711509372,full,24,53,2795,5,29,73.4485,396.851132093926,329.354162645378,0.1144,0.1144,0.28,230.678575387286,637034000,False,3D Neuron Reconstruction morphology,3223.3941033272304,4940.7785176708,607.897093981671,spiny
6,68.45990904634189,,0.8897665850815749,0.259648659460171,28.2631578947368,1.08519379612231,,491120305,6.0,107.89753306837,128.517407536202,dendrite-only,29,65,1729,7,36,44.52,170.658637316345,140.6123668267,0.1144,0.1144,0.28,358.75515913314905,469753383,False,3D Neuron Reconstruction morphology,1825.6463207786999,1499.8582948624403,108.114603748737,aspiny
7,77.9804392732071,,0.919570950809402,0.42361562481856,41.704545454545496,0.817027386531113,,657256518,4.0,208.96039450800203,230.879637496807,full,22,48,1938,4,26,60.2975,290.29964587472597,327.310902284944,0.1144,0.1144,0.28,356.208499117632,473540161,False,3D Neuron Reconstruction morphology,2263.66266057433,3040.8479967252,378.35125171718397,aspiny
8,62.2073422392878,,0.901603246045334,0.5364446995827079,71.29927007299271,0.9380153456979791,,702516390,14.0,500.505308841095,577.692574840173,full,69,144,9796,6,75,168.5527,729.549422055491,670.20504764793,0.1144,0.1144,0.28,328.873510666662,539542640,False,3D Neuron Reconstruction morphology,12462.652516971399,21947.3976149254,3584.4529994515,spiny
9,74.5875410471451,,0.914961181861014,0.27867512530904,42.685393258427,0.893874031775563,,491771446,9.0,497.64862352309405,521.353024362101,dendrite-only,45,101,3959,11,56,81.5942,615.612146610286,322.114402404582,0.1144,0.1144,0.28,410.817692628377,480114344,False,3D Neuron Reconstruction morphology,4664.6620852147,4078.0185335457795,308.800517398896,spiny
10,70.22654206574929,,0.899668797184924,0.35514143845597296,74.1176470588235,0.9451575048412428,,572836836,14.0,540.620963427187,636.639202320659,full,68,144,10255,8,76,144.0522,778.273891510757,470.05982073794604,0.1144,0.1144,0.28,352.91484373391097,548473051,False,3D Neuron Reconstruction morphology,11838.0990340997,13200.339936947801,1348.78601276352,spiny
11,79.9704058644151,,0.9165285047282621,0.569298140850593,70.24615384615379,0.967693666211877,,603515571,7.0,444.976575274677,480.18919106325205,full,33,71,4632,5,38,80.6243,572.448660055255,495.502917681346,0.1144,0.1144,0.28,719.8072778816479,571500474,False,3D Neuron Reconstruction morphology,5347.11013855008,9562.700317567671,1542.84936861444,spiny
12,68.74007573006111,,0.886851224158315,0.827986087891109,78.078125,1.00103548022534,,595952514,14.0,1368.9818126448401,1493.3731230547,full,32,71,5143,7,39,166.0871,1513.1320086555302,573.09746191377,0.1144,0.1144,0.28,881.834479362099,528614014,False,3D Neuron Reconstruction morphology,6576.66979899152,17369.6598806303,4032.19887070084,spiny
13,79.42426958005551,,0.8739944618672421,0.593634336380879,69.8260869565217,1.0,,644564684,5.0,330.210994768103,374.020622867082,full,23,50,3259,4,27,151.1762,449.69550678257997,583.697986641085,0.1144,0.1144,0.28,443.34723281450994,574036994,False,3D Neuron Reconstruction morphology,3936.498550346,7324.54121221249,1129.57518446628,sparsely spiny
14,73.4021542228108,,0.8892924111754829,0.217684736238168,39.5185185185185,0.903473113669189,,491770168,7.0,363.176650722593,385.244480939495,dendrite-only,27,60,2187,6,33,150.0544,410.419127843519,228.63141342106002,0.1144,0.1144,0.28,242.32407507771,324025371,False,3D Neuron Reconstruction morphology,2548.75912421439,1741.27607369005,99.3389504611774,spiny
15,77.7953812890814,,0.847958944017205,0.322756405687258,48.27777777777779,0.9976885579119671,,645075400,4.0,201.92705567491402,236.430733194943,full,27,61,2676,7,34,120.2672,254.19040190669898,266.308723786166,0.1144,0.1144,0.28,189.242676820662,614767057,False,3D Neuron Reconstruction morphology,3132.44389024324,3172.3603849734495,254.598241916009,aspiny
16,67.081071785237,,0.935039163138147,0.783493098007243,94.9166666666667,0.9933767727982099,,691757016,3.0,276.537555793531,293.127864842278,full,6,15,1178,3,9,92.1998,435.24672210118996,237.232975998963,0.1144,0.1144,0.28,581.043639821578,561465305,False,3D Neuron Reconstruction morphology,1377.9175609758,3399.0555902101896,696.283724570919,aspiny
17,87.3083748252151,,0.7914780896128359,0.6936408556946779,106.46666666666701,0.9452866739758492,,679909255,10.0,551.041997032032,643.468805186409,full,15,33,3438,3,18,146.8538,838.741660228733,404.285197026947,0.1144,0.1144,0.28,257.036074366472,576132767,False,3D Neuron Reconstruction morphology,4169.20029169336,9092.07388542528,1638.3072988869699,spiny
18,77.47414896360459,,0.8645119704131271,0.517770075754003,34.9880952380952,1.0,,609847136,9.0,239.59795102350103,275.038198436052,dendrite-only,42,93,3054,9,51,108.3424,243.706439837043,306.954954505045,0.1144,0.1144,0.28,669.519462982872,584680861,False,3D Neuron Reconstruction morphology,3479.1066588439803,5659.9399081295205,740.3447503531779,spiny
